INFO 2024-07-12 03:56:11,517 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-12 03:56:11,518 autoreload Waiting for apps ready_event.
DEBUG 2024-07-12 03:56:11,559 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-12 03:56:11,632 autoreload Watching dir /home/mesele/erp/verp/lib/python3.8/site-packages/import_export/templates with glob **/*.
DEBUG 2024-07-12 03:56:11,632 autoreload Watching dir /home/mesele/erp/verp/lib/python3.8/site-packages/crispy_bootstrap4/templates with glob **/*.
DEBUG 2024-07-12 03:56:11,632 autoreload Watching dir /home/mesele/erp/hotelerp/common_user/templates with glob **/*.
DEBUG 2024-07-12 03:56:11,633 autoreload Watching dir /home/mesele/erp/hotelerp/store/templates with glob **/*.
DEBUG 2024-07-12 03:56:11,633 autoreload Watching dir /home/mesele/erp/hotelerp/employee_management/templates with glob **/*.
DEBUG 2024-07-12 03:56:11,635 autoreload Watching dir /home/mesele/erp/hotelerp/locale with glob **/*.mo.
DEBUG 2024-07-12 03:56:11,635 autoreload Watching dir /home/mesele/erp/verp/lib/python3.8/site-packages/crispy_forms/locale with glob **/*.mo.
DEBUG 2024-07-12 03:56:11,636 autoreload Watching dir /home/mesele/erp/verp/lib/python3.8/site-packages/crispy_bootstrap4/locale with glob **/*.mo.
DEBUG 2024-07-12 03:56:11,637 autoreload Watching dir /home/mesele/erp/verp/lib/python3.8/site-packages/django_humanize/locale with glob **/*.mo.
DEBUG 2024-07-12 03:56:11,637 autoreload Watching dir /home/mesele/erp/verp/lib/python3.8/site-packages/import_export/locale with glob **/*.mo.
DEBUG 2024-07-12 03:56:11,638 autoreload Watching dir /home/mesele/erp/verp/lib/python3.8/site-packages/django_select2/locale with glob **/*.mo.
DEBUG 2024-07-12 03:56:11,638 autoreload Watching dir /home/mesele/erp/hotelerp/employee_management/locale with glob **/*.mo.
DEBUG 2024-07-12 03:56:11,638 autoreload Watching dir /home/mesele/erp/hotelerp/store/locale with glob **/*.mo.
DEBUG 2024-07-12 03:56:11,639 autoreload Watching dir /home/mesele/erp/hotelerp/common_user/locale with glob **/*.mo.
DEBUG 2024-07-12 03:56:11,773 utils (0.008) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-07-12 03:56:11,779 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-07-12 03:56:11,950 autoreload File /home/mesele/erp/verp/lib/python3.8/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1718717893.8351333
DEBUG 2024-07-12 03:56:11,951 autoreload File /usr/lib/python3.8/asyncio/events.py first seen with mtime 1711363369.0
DEBUG 2024-07-12 03:56:11,951 autoreload File /home/mesele/erp/verp/lib/python3.8/site-packages/django/contrib/admin/helpers.py first seen with mtime 1718717892.9671254
DEBUG 2024-07-12 03:56:11,951 autoreload File /home/mesele/erp/verp/lib/python3.8/site-packages/openpyxl/styles/numbers.py first seen with mtime 1718717903.7072213
DEBUG 2024-07-12 03:56:11,951 autoreload File /usr/lib/python3.8/tempfile.py first seen with mtime 1711363369.0
DEBUG 2024-07-12 03:56:11,951 autoreload File /home/mesele/erp/hotelerp/common_user/views.py first seen with mtime 1720374948.932261
DEBUG 2024-07-12 03:56:11,952 autoreload File /usr/lib/python3.8/decimal.py first seen with mtime 1711363369.0
DEBUG 2024-07-12 03:56:11,952 autoreload File /home/mesele/erp/hotelerp/hotelerp/__init__.py first seen with mtime 1718715660.8470318
DEBUG 2024-07-12 03:56:11,952 autoreload File /home/mesele/erp/verp/lib/python3.8/site-packages/django/core/files/uploadedfile.py first seen with mtime 1718717893.9951346
